likes,hour,hex,h,s,v
98,11,#4f7223,86.58227848101266,0.6929824561403509,0.4470588235294118
55,10,#27b911,112.14285714285714,0.9081081081081082,0.7254901960784313
136,9,#93dc88,112.14285714285714,0.38181818181818183,0.8627450980392157
107,8,#c9ee44,73.05882352941177,0.7142857142857143,0.9333333333333333
157,7,#e4f722,65.35211267605634,0.8623481781376519,0.9686274509803922
458,6,#f27b91,348.9075630252101,0.49173553719008267,0.9490196078431372
162,5,#f93dc8,315.63829787234044,0.7550200803212851,0.9764705882352941
369,4,#fc9ee4,315.3191489361702,0.373015873015873,0.9882352941176471
348,3,#fe4f72,348,0.6889763779527559,0.996078431372549
180,2,#7f27b9,276.16438356164383,0.7891891891891892,0.7254901960784313
178,1,#3f93dc,207.89808917197453,0.7136363636363636,0.8627450980392157
193,0,#1fc9ee,190.7246376811594,0.8697478991596639,0.9333333333333333
206,23,#0fe4f7,184.91379310344828,0.9392712550607287,0.9686274509803922
88,22,#87f27b,113.94957983193277,0.49173553719008267,0.9490196078431372
80,21,#43f93d,118.08510638297872,0.7550200803212851,0.9764705882352941
119,20,#21fc9e,154.24657534246575,0.8690476190476191,0.9882352941176471
97,19,#90fe4f,97.71428571428571,0.6889763779527559,0.996078431372549
210,18,#c87f27,32.79503105590062,0.805,0.7843137254901961
149,17,#643f93,266.42857142857144,0.5714285714285714,0.5764705882352941
67,16,#b21fc9,291.8823529411765,0.845771144278607,0.788235294117647
132,15,#590fe4,260.84507042253523,0.9342105263157895,0.8941176470588236
145,14,#2c87f2,212.4242424242424,0.8181818181818182,0.9490196078431372
143,13,#9643f9,267.3626373626374,0.7309236947791165,0.9764705882352941
105,12,#4b21fc,251.50684931506848,0.8690476190476191,0.9882352941176471
282,11,#a590fe,251.4545454545455,0.4330708661417323,0.996078431372549
80,10,#52c87f,142.88135593220338,0.59,0.7843137254901961
120,9,#29643f,142.3728813559322,0.59,0.39215686274509803
69,8,#14b21f,124.17721518987341,0.8876404494382022,0.6980392156862745
94,7,#0a590f,123.79746835443038,0.8876404494382022,0.34901960784313724
117,6,#852c87,298.68131868131866,0.674074074074074,0.5294117647058824
186,5,#c29643,39.212598425196845,0.654639175257732,0.7607843137254902
237,4,#e14b21,13.125,0.8533333333333334,0.8823529411764706
448,3,#70a590,156.22641509433961,0.3212121212121212,0.6470588235294118
190,2,#3852c8,229.16666666666669,0.72,0.7843137254901961
221,1,#9c2964,329.2173913043478,0.7371794871794872,0.611764705882353
157,0,#4e14b2,262.0253164556962,0.8876404494382022,0.6980392156862745
183,23,#a70a59,329.8089171974522,0.9401197604790419,0.6549019607843137
242,21,#53852c,93.70786516853933,0.6691729323308271,0.5215686274509804
382,20,#a9c296,94.0909090909091,0.2268041237113402,0.7607843137254902
87,19,#54e14b,116.39999999999999,0.6666666666666666,0.8823529411764706
251,18,#aa70a5,305.17241379310343,0.3411764705882353,0.6666666666666666
281,17,#553852,306.2068965517241,0.3411764705882353,0.3333333333333333
76,16,#2a9c29,119.47826086956522,0.7371794871794872,0.611764705882353
119,15,#954e14,26.976744186046513,0.8657718120805369,0.5843137254901961
57,14,#4aa70a,95.54140127388536,0.9401197604790419,0.6549019607843137
208,13,#a55385,323.4146341463415,0.49696969696969695,0.6470588235294118
692,12,#d2a9c2,323.4146341463415,0.19523809523809524,0.8235294117647058
100,11,#6954e1,248.93617021276594,0.6266666666666667,0.8823529411764706
64,10,#b4aa70,51.17647058823529,0.37777777777777777,0.7058823529411765
61,9,#5a5538,51.17647058823529,0.37777777777777777,0.35294117647058826
85,8,#ad2a9c,307.78625954198475,0.7572254335260116,0.6784313725490196
101,7,#56954e,113.2394366197183,0.47651006711409394,0.5843137254901961
94,6,#ab4aa7,302.4742268041237,0.5672514619883041,0.6705882352941176
103,5,#55a553,118.53658536585365,0.49696969696969695,0.6470588235294118
382,4,#aad2a9,118.53658536585365,0.19523809523809524,0.8235294117647058
350,3,#556954,117.14285714285714,0.2,0.4117647058823529
211,2,#2ab4aa,175.6521739130435,0.7666666666666667,0.7058823529411765
329,1,#155a55,175.6521739130435,0.7666666666666667,0.35294117647058826
72,0,#0aad2a,131.7791411042945,0.9421965317919075,0.6784313725490196
189,23,#055695,206.25,0.9664429530201343,0.5843137254901961
77,22,#02ab4a,145.5621301775148,0.9883040935672515,0.6705882352941176
150,21,#0155a5,209.26829268292684,0.9939393939393939,0.6470588235294118
198,20,#00aad2,191.42857142857144,1,0.8235294117647058
358,19,#805569,332.09302325581393,0.3359375,0.5019607843137255
97,18,#c02ab4,304.8,0.78125,0.7529411764705882
180,17,#e0155a,339.60591133004925,0.90625,0.8784313725490196
165,16,#f00aad,317.47826086956525,0.9583333333333334,0.9411764705882353
180,15,#780556,317.7391304347826,0.9583333333333334,0.47058823529411764
108,14,#3c02ab,260.5917159763314,0.9883040935672515,0.6705882352941176
137,13,#1e0155,260.71428571428567,0.9882352941176471,0.3333333333333333
85,12,#8f00aa,290.4705882352941,1,0.6666666666666666
121,11,#c78055,22.63157894736842,0.5728643216080402,0.7803921568627451
280,10,#e3c02a,48.64864864864865,0.8149779735682819,0.8901960784313725
59,9,#71e015,92.80788177339902,0.90625,0.8784313725490196
89,8,#b8f00a,74.6086956521739,0.9583333333333334,0.9411764705882353
105,7,#5c7805,74.6086956521739,0.9583333333333334,0.47058823529411764
140,6,#ae3c02,20.232558139534884,0.9885057471264368,0.6823529411764706
191,5,#d71e01,8.130841121495326,0.9953488372093023,0.8431372549019608
253,4,#eb8f00,36.51063829787234,1,0.9215686274509803
132,3,#75c780,128.0487804878049,0.4120603015075377,0.7803921568627451
155,2,#3ae3c0,167.57396449704143,0.7444933920704846,0.8901960784313725
161,1,#1d71e0,214.15384615384613,0.8705357142857143,0.8784313725490196
575,0,#8eb8f0,214.2857142857143,0.4083333333333333,0.9411764705882353
375,23,#c75c78,344.29906542056074,0.5376884422110553,0.7803921568627451
84,22,#63ae3c,99.47368421052632,0.6551724137931034,0.6823529411764706
123,21,#b1d71e,72.32432432432434,0.8604651162790697,0.8431372549019608
101,20,#58eb8f,142.44897959183675,0.625531914893617,0.9215686274509803
238,19,#ac75c7,280.2439024390244,0.4120603015075377,0.7803921568627451
82,18,#d63ae3,295.3846153846154,0.7444933920704846,0.8901960784313725
